        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.14000000e+02,        +1.414213562373e-01,        +1.715315918781e-01,        -2.613945565803e-02,        -9.233052271693e-02,        -6.492005357612e-02,        +1.414213562373e-01,        -9.233052271693e-02,        -6.492005357612e-02,        +1.716640948106e-01,        -2.610355900619e-02
 2.16000000e+02,        +1.414213562373e-01,        +1.669865412657e-01,        -2.356944873370e-02,        -9.867897631342e-02,        -5.688498553135e-02,        +1.414213562373e-01,        -9.867897631342e-02,        -5.688498553135e-02,        +1.671502563931e-01,        -2.353060153814e-02
 2.18000000e+02,        +1.414213562373e-01,        +1.629074839128e-01,        -2.016477398449e-02,        -1.042718203481e-01,        -4.799806519656e-02,        +1.414213562373e-01,        -1.042718203481e-01,        -4.799806519656e-02,        +1.631043023294e-01,        -2.012823657975e-02
 2.20000000e+02,        +1.414213562373e-01,        +1.594706313144e-01,        -1.601246900919e-02,        -1.089412924016e-01,        -3.834881607355e-02,        +1.414213562373e-01,        -1.089412924016e-01,        -3.834881607355e-02,        +1.597014857292e-01,        -1.598401054183e-02
 2.22000000e+02,        +1.414213562373e-01,        +1.568341652591e-01,        -1.124461030042e-02,        -1.125358555561e-01,        -2.807088239890e-02,        +1.414213562373e-01,        -1.125358555561e-01,        -2.807088239890e-02,        +1.570988827104e-01,        -1.123029290414e-02
 2.24000000e+02,        +1.414213562373e-01,        +1.551241575295e-01,        -6.033520757082e-03,        -1.149342766058e-01,        -1.733742454594e-02,        +1.414213562373e-01,        -1.149342766058e-01,        -1.733742454594e-02,        +1.554213756211e-01,        -6.039435131642e-03
 2.26000000e+02,        +1.414213562373e-01,        +1.544223308366e-01,        -5.817558906923e-04,        -1.160578448125e-01,        -6.351287360676e-03,        +1.414213562373e-01,        -1.160578448125e-01,        -6.351287360676e-03,        +1.547494952403e-01,        -6.137322714934e-04
 2.28000000e+02,        +1.414213562373e-01,        +1.547578599572e-01,        +4.892153004924e-03,        -1.158785363231e-01,        +4.669070444247e-03,        +1.414213562373e-01,        -1.158785363231e-01,        +4.669070444247e-03,        +1.551113098919e-01,        +4.828827655131e-03
 2.30000000e+02,        +1.414213562373e-01,        +1.561047801477e-01,        +1.017021529157e-02,        -1.144215631704e-01,        +1.550589578253e-02,        +1.414213562373e-01,        -1.144215631704e-01,        +1.550589578253e-02,        +1.564799149442e-01,        +1.007104205915e-02
 2.32000000e+02,        +1.414213562373e-01,        +1.583854673946e-01,        +1.505121914250e-02,        -1.117618484092e-01,        +2.595816849289e-02,        +1.414213562373e-01,        -1.117618484092e-01,        +2.595816849289e-02,        +1.587769745198e-01,        +1.491266772152e-02
 2.34000000e+02,        +1.414213562373e-01,        +1.614794167713e-01,        +1.936425317525e-02,        -1.080152056525e-01,        +3.585489759349e-02,        +1.414213562373e-01,        -1.080152056525e-01,        +3.585489759349e-02,        +1.618815331502e-01,        +1.918386287186e-02
 2.36000000e+02,        +1.414213562373e-01,        +1.652355634742e-01,        +2.297778230458e-02,        -1.033259804722e-01,        +4.506395754848e-02,        +1.414213562373e-01,        -1.033259804722e-01,        +4.506395754848e-02,        +1.656423395455e-01,        +2.275418123666e-02
 2.38000000e+02,        +1.414213562373e-01,        +1.694859405295e-01,        +2.580359965120e-02,        -9.785335933797e-02,        +5.349578575185e-02,        +1.414213562373e-01,        -9.785335933797e-02,        +5.349578575185e-02,        +1.698914801369e-01,        +2.553645180798e-02
 2.40000000e+02,        +1.414213562373e-01,        +1.740585998438e-01,        +2.779601534826e-02,        -9.175841781690e-02,        +6.110229905628e-02,        +1.414213562373e-01,        -9.175841781690e-02,        +6.110229905628e-02,        +1.744572569586e-01,        +2.748591335348e-02
 2.42000000e+02,        +1.414213562373e-01,        +1.787882853084e-01,        +2.894738649531e-02,        -8.519341799698e-02,        +6.787212754541e-02,        +1.414213562373e-01,        -8.519341799698e-02,        +6.787212754541e-02,        +1.791748080995e-01,        +2.859571133986e-02
 2.44000000e+02,        +1.414213562373e-01,        +1.835240844441e-01,        +2.928141989126e-02,        -7.829412915967e-02,        +7.382358821488e-02,        +1.414213562373e-01,        -7.829412915967e-02,        +7.382358821488e-02,        +1.838937059630e-01,        +2.889018804240e-02
 2.46000000e+02,        +1.414213562373e-01,        +1.881339654001e-01,        +2.884563067957e-02,        -7.117526845416e-02,        +7.899677044161e-02,        +1.414213562373e-01,        -7.117526845416e-02,        +7.899677044161e-02,        +1.884824466276e-01,        +2.841734522906e-02
 2.48000000e+02,        +1.414213562373e-01,        +1.925065893734e-01,        +2.770404972566e-02,        -6.392867898765e-02,        +8.344581333580e-02,        +1.414213562373e-01,        -6.392867898765e-02,        +8.344581333580e-02,        +1.928302241100e-01,        +2.724156721974e-02
 2.50000000e+02,        +1.414213562373e-01,        +1.965510391405e-01,        +2.593089047761e-02,        -5.662361667192e-02,        +8.723207232102e-02,        +1.414213562373e-01,        -5.662361667192e-02,        +8.723207232102e-02,        +1.968466315019e-01,        +2.543731009219e-02
 2.52000000e+02,        +1.414213562373e-01,        +2.001951598437e-01,        +2.360552625859e-02,        -4.930846689654e-02,        +9.041851253811e-02,        +1.414213562373e-01,        -4.930846689654e-02,        +9.041851253811e-02,        +2.004599846476e-01,        +2.308410384588e-02
 2.54000000e+02,        +1.414213562373e-01,        +2.033831368355e-01,        +2.080885229891e-02,        -4.201328943981e-02,        +9.306539086684e-02,        +1.414213562373e-01,        -4.201328943981e-02,        +9.306539086684e-02,        +2.036148916931e-01,        +2.026293884695e-02
 2.56000000e+02,        +1.414213562373e-01,        +2.060728042064e-01,        +1.762092876806e-02,        -3.475272829839e-02,        +9.522711220330e-02,        +1.414213562373e-01,        -3.475272829839e-02,        +9.522711220330e-02,        +2.062695602857e-01,        +1.705393094621e-02
 2.58000000e+02,        +1.414213562373e-01,        +2.082330359534e-01,        +1.411970902605e-02,        -2.752897325298e-02,        +9.695005707757e-02,        +1.414213562373e-01,        -2.752897325298e-02,        +9.695005707757e-02,        +2.083931925831e-01,        +1.353506851697e-02
