        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 2.64000000e+02,        +7.071067811865e+00,        +7.206711346699e+00,        -1.536277986864e-01,        +1.731039561405e+00,        +4.875650788732e+00,        +7.071067811865e+00,        +1.731039561405e+00,        +4.875650788732e+00,        +7.205473921262e+00,        -1.567204789865e-01
 2.66000000e+02,        +7.071067811865e+00,        +7.192093969148e+00,        -1.535763040394e-01,        +2.135043439490e+00,        +4.705257695264e+00,        +7.071067811865e+00,        +2.135043439490e+00,        +4.705257695264e+00,        +7.190734395804e+00,        -1.565049674382e-01
 2.68000000e+02,        +7.071067811865e+00,        +7.177684792143e+00,        -1.510908215540e-01,        +2.522634999236e+00,        +4.501520333888e+00,        +7.071067811865e+00,        +2.522634999236e+00,        +4.501520333888e+00,        +7.176232868805e+00,        -1.538409114976e-01
 2.70000000e+02,        +7.071067811865e+00,        +7.163893105932e+00,        -1.462525835630e-01,        +2.891067894948e+00,        +4.265994567833e+00,        +7.071067811865e+00,        +2.891067894948e+00,        +4.265994567833e+00,        +7.162380901710e+00,        -1.488145947825e-01
 2.72000000e+02,        +7.071067811865e+00,        +7.151106478496e+00,        -1.392106073781e-01,        +3.237742052489e+00,        +4.000463434378e+00,        +7.071067811865e+00,        +3.237742052489e+00,        +4.000463434378e+00,        +7.149567515592e+00,        -1.415804215879e-01
 2.74000000e+02,        +7.071067811865e+00,        +7.139679683417e+00,        -1.301766809162e-01,        +3.560222906707e+00,        +3.706923267615e+00,        +7.071067811865e+00,        +3.560222906708e+00,        +3.706923267615e+00,        +7.138148071671e+00,        -1.323557732363e-01
 2.76000000e+02,        +7.071067811865e+00,        +7.129924701045e+00,        -1.194185637581e-01,        +3.856259245149e+00,        +3.387568068021e+00,        +7.071067811865e+00,        +3.856259245149e+00,        +3.387568068021e+00,        +7.128434245087e+00,        -1.214140730629e-01
 2.78000000e+02,        +7.071067811865e+00,        +7.122102076768e+00,        -1.072516238587e-01,        +4.123799468750e+00,        +3.044772284182e+00,        +7.071067811865e+00,        +4.123799468750e+00,        +3.044772284182e+00,        +7.120685376846e+00,        -1.090762831976e-01
 2.80000000e+02,        +7.071067811865e+00,        +7.116413875949e+00,        -9.402917465339e-02,        +4.361006106778e+00,        +2.681072198472e+00,        +7.071067811865e+00,        +4.361006106778e+00,        +2.681072198472e+00,        +7.115101444126e+00,        -9.570110101631e-02
 2.82000000e+02,        +7.071067811865e+00,        +7.112998423845e+00,        -8.013181288983e-02,        +4.566268454487e+00,        +2.299146129110e+00,        +7.071067811865e+00,        +4.566268454487e+00,        +2.299146129110e+00,        +7.111817837550e+00,        -8.167415884093e-02
 2.84000000e+02,        +7.071067811865e+00,        +7.111926962656e+00,        -6.595608312105e-02,        +4.738213236197e+00,        +1.901793675043e+00,        +7.071067811865e+00,        +4.738213236197e+00,        +1.901793675043e+00,        +7.110902077342e+00,        -6.739655616610e-02
 2.86000000e+02,        +7.071067811865e+00,        +7.113202298612e+00,        -5.190280980251e-02,        +4.875713232348e+00,        +1.491914236901e+00,        +7.071067811865e+00,        +4.875713232348e+00,        +1.491914236901e+00,        +7.112352540664e+00,        -5.327306872679e-02
 2.88000000e+02,        +7.071067811865e+00,        +7.116759451848e+00,        -3.836544214385e-02,        +4.977893844521e+00,        +1.072485046952e+00,        +7.071067811865e+00,        +4.977893844521e+00,        +1.072485046952e+00,        +7.116099211712e+00,        -3.970038291587e-02
 2.90000000e+02,        +7.071067811865e+00,        +7.122468262645e+00,        -2.571875048416e-02,        +5.044137606139e+00,        +6.465389338279e-01,        +7.071067811865e+00,        +5.044137606139e+00,        +6.465389338279e-01,        +7.122006406564e+00,        -2.705569761141e-02
 2.92000000e+02,        +7.071067811865e+00,        +7.130137851384e+00,        -1.430819658016e-02,        +5.074086676834e+00,        +2.171420346352e-01,        +7.071067811865e+00,        +5.074086676834e+00,        +2.171420346352e-01,        +7.129877368013e+00,        -1.568601897421e-02
 2.94000000e+02,        +7.071067811865e+00,        +7.139522777831e+00,        -4.440274733874e-03,        +5.067643384237e+00,        -2.126283510670e-01,        +7.071067811865e+00,        +5.067643384237e+00,        -2.126283510670e-01,        +7.139460573384e+00,        -5.898448137937e-03
 2.96000000e+02,        +7.071067811865e+00,        +7.150330699634e+00,        +3.625912686283e-03,        +5.024968897304e+00,        -6.397055926565e-01,        +7.071067811865e+00,        +5.024968897304e+00,        -6.397055926565e-01,        +7.150457552090e+00,        +2.048271892809e-03
 2.98000000e+02,        +7.071067811865e+00,        +7.162231291129e+00,        +9.685621705423e-03,        +4.946480129677e+00,        -1.061055096289e+00,        +7.071067811865e+00,        +4.946480129677e+00,        -1.061055096289e+00,        +7.162531970392e+00,        +7.950724049533e-03
 3.00000000e+02,        +7.071067811865e+00,        +7.174866152644e+00,        +1.359379657726e-02,        +4.832844979911e+00,        -1.473695084725e+00,        +7.071067811865e+00,        +4.832844979911e+00,        -1.473695084725e+00,        +7.175319709384e+00,        +1.166611901618e-02
