        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.72000000e+02,        -8.126054768377e+00,        +2.731826262331e+01,        -2.197995044279e+00,        -5.431521136007e+01,        -2.197995044279e+00,        -5.431521136007e+01,        -8.133503326969e+00,        +2.755521835374e+01
 1.74000000e+02,        -7.722077182810e+00,        +2.381199757410e+01,        -2.281387980260e+00,        -5.880540804747e+01,        -2.281387980260e+00,        -5.880540804747e+01,        -7.728883434393e+00,        +2.404233170177e+01
 1.76000000e+02,        -7.391086501034e+00,        +2.029131133687e+01,        -2.356586323348e+00,        -6.322163624330e+01,        -2.356586323348e+00,        -6.322163624330e+01,        -7.397368621581e+00,        +2.051666339487e+01
 1.78000000e+02,        -7.124662558118e+00,        +1.676894304695e+01,        -2.422136614803e+00,        -6.757416948663e+01,        -2.422136614803e+00,        -6.757416948663e+01,        -7.130506982365e+00,        +1.699071989280e+01
 1.80000000e+02,        -6.916347708086e+00,        +1.325153433582e+01,        -2.476855957440e+00,        -7.187415754738e+01,        -2.476855957440e+00,        -7.187415754738e+01,        -6.921818065478e+00,        +1.347097979196e+01
 1.82000000e+02,        -6.761293690380e+00,        +9.741615341828e+00,        -2.519826690175e+00,        -7.613337698192e+01,        -2.519826690175e+00,        -7.613337698192e+01,        -6.766436570045e+00,        +9.959863470268e+00
 1.84000000e+02,        -6.656015526033e+00,        +6.238992999522e+00,        -2.550389183887e+00,        -8.036402683405e+01,        -2.550389183887e+00,        -8.036402683405e+01,        -6.660864208898e+00,        +6.457110941627e+00
 1.86000000e+02,        -6.598223519278e+00,        +2.741771815304e+00,        -2.568134754363e+00,        -8.457856087195e+01,        -2.568134754362e+00,        -8.457856087195e+01,        -6.602800324954e+00,        +2.960796387239e+00
 1.88000000e+02,        -6.586715391637e+00,        -7.528457483467e-01,        -2.572900066261e+00,        -8.878954601561e+01,        -2.572900066261e+00,        -8.878954601561e+01,        -6.591033000175e+00,        -5.318745421069e-01
 1.90000000e+02,        -6.621317734667e+00,        -4.247876739381e+00,        -2.564763842735e+00,        -9.300953578137e+01,        -2.564763842735e+00,        -9.300953578137e+01,        -6.625379659116e+00,        -4.023882651924e+00
 1.92000000e+02,        -6.702870985888e+00,        -7.745912948283e+00,        -2.544046190275e+00,        -9.725094731054e+01,        -2.544046190275e+00,        -9.725094731054e+01,        -6.706671235765e+00,        -7.517748440440e+00
